Duration (s),Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Delay (ms),Loss (%)
30,4,75,TCP,100,0
30,4,100,TCP,100,0
30,4,150,TCP,100,0
30,4,200,TCP,100,0
30,8,25,TCP,100,0
30,8,50,TCP,100,0
30,8,75,TCP,100,0
30,8,100,TCP,100,0
30,8,150,TCP,100,0
30,8,200,TCP,100,0
30,16,25,TCP,100,0
30,16,50,TCP,100,0
30,16,75,TCP,100,0
30,16,100,TCP,100,0
30,16,150,TCP,100,0
30,16,200,TCP,100,0
30,32,25,TCP,100,0
30,32,50,TCP,100,0
30,32,75,TCP,100,0
30,32,100,TCP,100,0
30,32,150,TCP,100,0
30,32,200,TCP,100,0
30,64,25,TCP,100,0
30,64,50,TCP,100,0
30,64,75,TCP,100,0
30,64,100,TCP,100,0
30,64,150,TCP,100,0
30,64,200,TCP,100,0
10,1,25,TCP,1000,0
10,1,50,TCP,1000,0
10,1,75,TCP,1000,0
10,1,100,TCP,1000,0
10,1,150,TCP,1000,0
10,1,200,TCP,1000,0
10,2,25,TCP,1000,0
10,2,50,TCP,1000,0
10,2,75,TCP,1000,0
10,2,100,TCP,1000,0
10,2,150,TCP,1000,0
10,2,200,TCP,1000,0
10,4,25,TCP,1000,0
10,4,50,TCP,1000,0
10,4,75,TCP,1000,0
10,4,100,TCP,1000,0
10,4,150,TCP,1000,0
10,4,200,TCP,1000,0
10,8,25,TCP,1000,0
10,8,50,TCP,1000,0
10,8,75,TCP,1000,0
10,8,100,TCP,1000,0
10,8,150,TCP,1000,0
10,8,200,TCP,1000,0
10,16,25,TCP,1000,0
10,16,50,TCP,1000,0
10,16,75,TCP,1000,0
10,16,100,TCP,1000,0
10,16,150,TCP,1000,0
10,16,200,TCP,1000,0
10,32,25,TCP,1000,0
10,32,50,TCP,1000,0
10,32,75,TCP,1000,0
10,32,100,TCP,1000,0
10,32,150,TCP,1000,0
10,32,200,TCP,1000,0
10,64,25,TCP,1000,0
10,64,50,TCP,1000,0
10,64,75,TCP,1000,0
10,64,100,TCP,1000,0
10,64,150,TCP,1000,0
10,64,200,TCP,1000,0
20,1,25,TCP,1000,0
20,1,50,TCP,1000,0
20,1,75,TCP,1000,0
20,1,100,TCP,1000,0
20,1,150,TCP,1000,0
20,1,200,TCP,1000,0
20,2,25,TCP,1000,0
20,2,50,TCP,1000,0
20,2,75,TCP,1000,0
20,2,100,TCP,1000,0
20,2,150,TCP,1000,0
20,2,200,TCP,1000,0
20,4,25,TCP,1000,0
20,4,50,TCP,1000,0
20,4,75,TCP,1000,0
20,4,100,TCP,1000,0
20,4,150,TCP,1000,0
20,4,200,TCP,1000,0
20,8,25,TCP,1000,0
20,8,50,TCP,1000,0
20,8,75,TCP,1000,0
20,8,100,TCP,1000,0
20,8,150,TCP,1000,0
20,8,200,TCP,1000,0
20,16,25,TCP,1000,0
20,16,50,TCP,1000,0
20,16,75,TCP,1000,0
20,16,100,TCP,1000,0
20,16,150,TCP,1000,0
20,16,200,TCP,1000,0
20,32,25,TCP,1000,0
20,32,50,TCP,1000,0
20,32,75,TCP,1000,0
20,32,100,TCP,1000,0
20,32,150,TCP,1000,0
20,32,200,TCP,1000,0
20,64,25,TCP,1000,0
20,64,50,TCP,1000,0
20,64,75,TCP,1000,0
20,64,100,TCP,1000,0
20,64,150,TCP,1000,0
20,64,200,TCP,1000,0
30,1,25,TCP,1000,0
30,1,50,TCP,1000,0
30,1,75,TCP,1000,0
30,1,100,TCP,1000,0
30,1,150,TCP,1000,0
30,1,200,TCP,1000,0
30,2,25,TCP,1000,0
30,2,50,TCP,1000,0
30,2,75,TCP,1000,0
30,2,100,TCP,1000,0
30,2,150,TCP,1000,0
30,2,200,TCP,1000,0
30,4,25,TCP,1000,0
30,4,50,TCP,1000,0
30,4,75,TCP,1000,0
30,4,100,TCP,1000,0
30,4,150,TCP,1000,0
30,4,200,TCP,1000,0
30,8,25,TCP,1000,0
30,8,50,TCP,1000,0
30,8,75,TCP,1000,0
30,8,100,TCP,1000,0
30,8,150,TCP,1000,0
30,8,200,TCP,1000,0
30,16,25,TCP,1000,0
30,16,50,TCP,1000,0
30,16,75,TCP,1000,0
30,16,100,TCP,1000,0
30,16,150,TCP,1000,0
30,16,200,TCP,1000,0
30,32,25,TCP,1000,0
30,32,50,TCP,1000,0
30,32,75,TCP,1000,0
30,32,100,TCP,1000,0
30,32,150,TCP,1000,0
30,32,200,TCP,1000,0
30,64,25,TCP,1000,0
30,64,50,TCP,1000,0
30,64,75,TCP,1000,0
30,64,100,TCP,1000,0
30,64,150,TCP,1000,0
30,64,200,TCP,1000,0
10,1,25,TCP,10,25
10,1,50,TCP,10,25
10,1,75,TCP,10,25
10,1,100,TCP,10,25
10,1,150,TCP,10,25
10,1,200,TCP,10,25
10,2,25,TCP,10,25
10,2,50,TCP,10,25
10,2,75,TCP,10,25
10,2,100,TCP,10,25
10,2,150,TCP,10,25
10,2,200,TCP,10,25
10,4,25,TCP,10,25
10,4,50,TCP,10,25
10,4,75,TCP,10,25
10,4,100,TCP,10,25
10,4,150,TCP,10,25
10,4,200,TCP,10,25
10,8,25,TCP,10,25
10,8,50,TCP,10,25
10,8,75,TCP,10,25
10,8,100,TCP,10,25
10,8,150,TCP,10,25
10,8,200,TCP,10,25
10,16,25,TCP,10,25
10,16,50,TCP,10,25
10,16,75,TCP,10,25
10,16,100,TCP,10,25
10,16,150,TCP,10,25
10,16,200,TCP,10,25
10,32,25,TCP,10,25
10,32,50,TCP,10,25
10,32,75,TCP,10,25
10,32,100,TCP,10,25
10,32,150,TCP,10,25
10,32,200,TCP,10,25
10,64,25,TCP,10,25
10,64,50,TCP,10,25
10,64,75,TCP,10,25
10,64,100,TCP,10,25
10,64,150,TCP,10,25
10,64,200,TCP,10,25
20,1,25,TCP,10,25
20,1,50,TCP,10,25
20,1,75,TCP,10,25
20,1,100,TCP,10,25
20,1,150,TCP,10,25
20,1,200,TCP,10,25
20,2,25,TCP,10,25
20,2,50,TCP,10,25
20,2,75,TCP,10,25
20,2,100,TCP,10,25
20,2,150,TCP,10,25
20,2,200,TCP,10,25
20,4,25,TCP,10,25
20,4,50,TCP,10,25
20,4,75,TCP,10,25
20,4,100,TCP,10,25
20,4,150,TCP,10,25
20,4,200,TCP,10,25
20,8,25,TCP,10,25
20,8,50,TCP,10,25
20,8,75,TCP,10,25
20,8,100,TCP,10,25
20,8,150,TCP,10,25
20,8,200,TCP,10,25
20,16,25,TCP,10,25
20,16,50,TCP,10,25
20,16,75,TCP,10,25
20,16,100,TCP,10,25
20,16,150,TCP,10,25
20,16,200,TCP,10,25
20,32,25,TCP,10,25
20,32,50,TCP,10,25
20,32,75,TCP,10,25
20,32,100,TCP,10,25
20,32,150,TCP,10,25
20,32,200,TCP,10,25
20,64,25,TCP,10,25
20,64,50,TCP,10,25
20,64,75,TCP,10,25
20,64,100,TCP,10,25
20,64,150,TCP,10,25
20,64,200,TCP,10,25
30,1,25,TCP,10,25
30,1,50,TCP,10,25
30,1,75,TCP,10,25
30,1,100,TCP,10,25
30,1,150,TCP,10,25
30,1,200,TCP,10,25
30,2,25,TCP,10,25
30,2,50,TCP,10,25
30,2,75,TCP,10,25
30,2,100,TCP,10,25
30,2,150,TCP,10,25
30,2,200,TCP,10,25
30,4,25,TCP,10,25
30,4,50,TCP,10,25
30,4,75,TCP,10,25
30,4,100,TCP,10,25
30,4,150,TCP,10,25
30,4,200,TCP,10,25
30,8,25,TCP,10,25
30,8,50,TCP,10,25
30,8,75,TCP,10,25
30,8,100,TCP,10,25
30,8,150,TCP,10,25
30,8,200,TCP,10,25
30,16,25,TCP,10,25
30,16,50,TCP,10,25
30,16,75,TCP,10,25
30,16,100,TCP,10,25
30,16,150,TCP,10,25
30,16,200,TCP,10,25
30,32,25,TCP,10,25
30,32,50,TCP,10,25
30,32,75,TCP,10,25
30,32,100,TCP,10,25
30,32,150,TCP,10,25
30,32,200,TCP,10,25
30,64,25,TCP,10,25
30,64,50,TCP,10,25
30,64,75,TCP,10,25
30,64,100,TCP,10,25
30,64,150,TCP,10,25
30,64,200,TCP,10,25
10,1,25,TCP,100,25
10,1,50,TCP,100,25
10,1,75,TCP,100,25
10,1,100,TCP,100,25
10,1,150,TCP,100,25
10,1,200,TCP,100,25
10,2,25,TCP,100,25
10,2,50,TCP,100,25
10,2,75,TCP,100,25
10,2,100,TCP,100,25
10,2,150,TCP,100,25
10,2,200,TCP,100,25
10,4,25,TCP,100,25
10,4,50,TCP,100,25
10,4,75,TCP,100,25
10,4,100,TCP,100,25
10,4,150,TCP,100,25
10,4,200,TCP,100,25
10,8,25,TCP,100,25
10,8,50,TCP,100,25
10,8,75,TCP,100,25
10,8,100,TCP,100,25
10,8,150,TCP,100,25
10,8,200,TCP,100,25
10,16,25,TCP,100,25
10,16,50,TCP,100,25
10,16,75,TCP,100,25
10,16,100,TCP,100,25
10,16,150,TCP,100,25
10,16,200,TCP,100,25
10,32,25,TCP,100,25
10,32,50,TCP,100,25
10,32,75,TCP,100,25
10,32,100,TCP,100,25
10,32,150,TCP,100,25
10,32,200,TCP,100,25
10,64,25,TCP,100,25
10,64,50,TCP,100,25
10,64,75,TCP,100,25
10,64,100,TCP,100,25
10,64,150,TCP,100,25
10,64,200,TCP,100,25
20,1,25,TCP,100,25
20,1,50,TCP,100,25
20,1,75,TCP,100,25
20,1,100,TCP,100,25
20,1,150,TCP,100,25
20,1,200,TCP,100,25
20,2,25,TCP,100,25
20,2,50,TCP,100,25
20,2,75,TCP,100,25
20,2,100,TCP,100,25
20,2,150,TCP,100,25
20,2,200,TCP,100,25
20,4,25,TCP,100,25
20,4,50,TCP,100,25
20,4,75,TCP,100,25
20,4,100,TCP,100,25
20,4,150,TCP,100,25
20,4,200,TCP,100,25
20,8,25,TCP,100,25
20,8,50,TCP,100,25
20,8,75,TCP,100,25
20,8,100,TCP,100,25
20,8,150,TCP,100,25
20,8,200,TCP,100,25
20,16,25,TCP,100,25
20,16,50,TCP,100,25
20,16,75,TCP,100,25
20,16,100,TCP,100,25
20,16,150,TCP,100,25
20,16,200,TCP,100,25
20,32,25,TCP,100,25
20,32,50,TCP,100,25
20,32,75,TCP,100,25
20,32,100,TCP,100,25
20,32,150,TCP,100,25
20,32,200,TCP,100,25
20,64,25,TCP,100,25
20,64,50,TCP,100,25
20,64,75,TCP,100,25
20,64,100,TCP,100,25
20,64,150,TCP,100,25
20,64,200,TCP,100,25
30,1,25,TCP,100,25
30,1,50,TCP,100,25
30,1,75,TCP,100,25
30,1,100,TCP,100,25
30,1,150,TCP,100,25
30,1,200,TCP,100,25
30,2,25,TCP,100,25
30,2,50,TCP,100,25
30,2,75,TCP,100,25
30,2,100,TCP,100,25
30,2,150,TCP,100,25
30,2,200,TCP,100,25
30,4,25,TCP,100,25
30,4,50,TCP,100,25
30,4,75,TCP,100,25
30,4,100,TCP,100,25
30,4,150,TCP,100,25
30,4,200,TCP,100,25
30,8,25,TCP,100,25
30,8,50,TCP,100,25
30,8,75,TCP,100,25
30,8,100,TCP,100,25
30,8,150,TCP,100,25
30,8,200,TCP,100,25
30,16,25,TCP,100,25
30,16,50,TCP,100,25
30,16,75,TCP,100,25
30,16,100,TCP,100,25
30,16,150,TCP,100,25
30,16,200,TCP,100,25
30,32,25,TCP,100,25
30,32,50,TCP,100,25
30,32,75,TCP,100,25
30,32,100,TCP,100,25
30,32,150,TCP,100,25
30,32,200,TCP,100,25
30,64,25,TCP,100,25
30,64,50,TCP,100,25
30,64,75,TCP,100,25
30,64,100,TCP,100,25
30,64,150,TCP,100,25
30,64,200,TCP,100,25
10,1,25,TCP,1000,25
10,1,50,TCP,1000,25
10,1,75,TCP,1000,25
10,1,100,TCP,1000,25
10,1,150,TCP,1000,25
10,1,200,TCP,1000,25
10,2,25,TCP,1000,25
10,2,50,TCP,1000,25
10,2,75,TCP,1000,25
10,2,100,TCP,1000,25
10,2,150,TCP,1000,25
10,2,200,TCP,1000,25
10,4,25,TCP,1000,25
10,4,50,TCP,1000,25
10,4,75,TCP,1000,25
10,4,100,TCP,1000,25
10,4,150,TCP,1000,25
10,4,200,TCP,1000,25
10,8,25,TCP,1000,25
10,8,50,TCP,1000,25
10,8,75,TCP,1000,25
10,8,100,TCP,1000,25
10,8,150,TCP,1000,25
10,8,200,TCP,1000,25
10,16,25,TCP,1000,25
10,16,50,TCP,1000,25
10,16,75,TCP,1000,25
10,16,100,TCP,1000,25
10,16,150,TCP,1000,25
10,16,200,TCP,1000,25
10,32,25,TCP,1000,25
10,32,50,TCP,1000,25
10,32,75,TCP,1000,25
10,32,100,TCP,1000,25
10,32,150,TCP,1000,25
10,32,200,TCP,1000,25
10,64,25,TCP,1000,25
10,64,50,TCP,1000,25
10,64,75,TCP,1000,25
10,64,100,TCP,1000,25
10,64,150,TCP,1000,25
10,64,200,TCP,1000,25
20,1,25,TCP,1000,25
20,1,50,TCP,1000,25
20,1,75,TCP,1000,25
20,1,100,TCP,1000,25
20,1,150,TCP,1000,25
20,1,200,TCP,1000,25
20,2,25,TCP,1000,25
20,2,50,TCP,1000,25
20,2,75,TCP,1000,25
20,2,100,TCP,1000,25
20,2,150,TCP,1000,25
20,2,200,TCP,1000,25
20,4,25,TCP,1000,25
20,4,50,TCP,1000,25
20,4,75,TCP,1000,25
20,4,100,TCP,1000,25
20,4,150,TCP,1000,25
20,4,200,TCP,1000,25
20,8,25,TCP,1000,25
20,8,50,TCP,1000,25
20,8,75,TCP,1000,25
20,8,100,TCP,1000,25
20,8,150,TCP,1000,25
20,8,200,TCP,1000,25
20,16,25,TCP,1000,25
20,16,50,TCP,1000,25
20,16,75,TCP,1000,25
20,16,100,TCP,1000,25
20,16,150,TCP,1000,25
20,16,200,TCP,1000,25
20,32,25,TCP,1000,25
20,32,50,TCP,1000,25
20,32,75,TCP,1000,25
20,32,100,TCP,1000,25
20,32,150,TCP,1000,25
20,32,200,TCP,1000,25
20,64,25,TCP,1000,25
20,64,50,TCP,1000,25
20,64,75,TCP,1000,25
20,64,100,TCP,1000,25
20,64,150,TCP,1000,25
20,64,200,TCP,1000,25
30,1,25,TCP,1000,25
30,1,50,TCP,1000,25
30,1,75,TCP,1000,25
30,1,100,TCP,1000,25
30,1,150,TCP,1000,25
30,1,200,TCP,1000,25
30,2,25,TCP,1000,25
30,2,50,TCP,1000,25
30,2,75,TCP,1000,25
30,2,100,TCP,1000,25
30,2,150,TCP,1000,25
30,2,200,TCP,1000,25
30,4,25,TCP,1000,25
30,4,50,TCP,1000,25
30,4,75,TCP,1000,25
30,4,100,TCP,1000,25
30,4,150,TCP,1000,25
30,4,200,TCP,1000,25
30,8,25,TCP,1000,25
30,8,50,TCP,1000,25
30,8,75,TCP,1000,25
30,8,100,TCP,1000,25
30,8,150,TCP,1000,25
30,8,200,TCP,1000,25
30,16,25,TCP,1000,25
30,16,50,TCP,1000,25
30,16,75,TCP,1000,25
30,16,100,TCP,1000,25
30,16,150,TCP,1000,25
30,16,200,TCP,1000,25
30,32,25,TCP,1000,25
30,32,50,TCP,1000,25
30,32,75,TCP,1000,25
30,32,100,TCP,1000,25
30,32,150,TCP,1000,25
30,32,200,TCP,1000,25
30,64,25,TCP,1000,25
30,64,50,TCP,1000,25
30,64,75,TCP,1000,25
30,64,100,TCP,1000,25
30,64,150,TCP,1000,25
30,64,200,TCP,1000,25
10,1,25,TCP,10,50
10,1,50,TCP,10,50
10,1,75,TCP,10,50
10,1,100,TCP,10,50
10,1,150,TCP,10,50
10,1,200,TCP,10,50
10,2,25,TCP,10,50
10,2,50,TCP,10,50
10,2,75,TCP,10,50
10,2,100,TCP,10,50
10,2,150,TCP,10,50
10,2,200,TCP,10,50
10,4,25,TCP,10,50
10,4,50,TCP,10,50
10,4,75,TCP,10,50
10,4,100,TCP,10,50
10,4,150,TCP,10,50
10,4,200,TCP,10,50
10,8,25,TCP,10,50
10,8,50,TCP,10,50
10,8,75,TCP,10,50
10,8,100,TCP,10,50
10,8,150,TCP,10,50
10,8,200,TCP,10,50
10,16,25,TCP,10,50
10,16,50,TCP,10,50
10,16,75,TCP,10,50
10,16,100,TCP,10,50
10,16,150,TCP,10,50
10,16,200,TCP,10,50
10,32,25,TCP,10,50
10,32,50,TCP,10,50
10,32,75,TCP,10,50
10,32,100,TCP,10,50
10,32,150,TCP,10,50
10,32,200,TCP,10,50
10,64,25,TCP,10,50
10,64,50,TCP,10,50
10,64,75,TCP,10,50
10,64,100,TCP,10,50
10,64,150,TCP,10,50
10,64,200,TCP,10,50
20,1,25,TCP,10,50
20,1,50,TCP,10,50
20,1,75,TCP,10,50
20,1,100,TCP,10,50
20,1,150,TCP,10,50
20,1,200,TCP,10,50
20,2,25,TCP,10,50
20,2,50,TCP,10,50
20,2,75,TCP,10,50
20,2,100,TCP,10,50
20,2,150,TCP,10,50
20,2,200,TCP,10,50
20,4,25,TCP,10,50
20,4,50,TCP,10,50
20,4,75,TCP,10,50
20,4,100,TCP,10,50
20,4,150,TCP,10,50
20,4,200,TCP,10,50
20,8,25,TCP,10,50
20,8,50,TCP,10,50
20,8,75,TCP,10,50
20,8,100,TCP,10,50
20,8,150,TCP,10,50
20,8,200,TCP,10,50
20,16,25,TCP,10,50
20,16,50,TCP,10,50
20,16,75,TCP,10,50
20,16,100,TCP,10,50
20,16,150,TCP,10,50
20,16,200,TCP,10,50
20,32,25,TCP,10,50
20,32,50,TCP,10,50
20,32,75,TCP,10,50
20,32,100,TCP,10,50
20,32,150,TCP,10,50
20,32,200,TCP,10,50
20,64,25,TCP,10,50
20,64,50,TCP,10,50
20,64,75,TCP,10,50
20,64,100,TCP,10,50
20,64,150,TCP,10,50
20,64,200,TCP,10,50
30,1,25,TCP,10,50
30,1,50,TCP,10,50
30,1,75,TCP,10,50
30,1,100,TCP,10,50
30,1,150,TCP,10,50
30,1,200,TCP,10,50
30,2,25,TCP,10,50
30,2,50,TCP,10,50
30,2,75,TCP,10,50
30,2,100,TCP,10,50
30,2,150,TCP,10,50
30,2,200,TCP,10,50
30,4,25,TCP,10,50
30,4,50,TCP,10,50
30,4,75,TCP,10,50
30,4,100,TCP,10,50
30,4,150,TCP,10,50
30,4,200,TCP,10,50
30,8,25,TCP,10,50
30,8,50,TCP,10,50
30,8,75,TCP,10,50
30,8,100,TCP,10,50
30,8,150,TCP,10,50
30,8,200,TCP,10,50
30,16,25,TCP,10,50
30,16,50,TCP,10,50
30,16,75,TCP,10,50
30,16,100,TCP,10,50
30,16,150,TCP,10,50
30,16,200,TCP,10,50
30,32,25,TCP,10,50
30,32,50,TCP,10,50
30,32,75,TCP,10,50
30,32,100,TCP,10,50
30,32,150,TCP,10,50
30,32,200,TCP,10,50
30,64,25,TCP,10,50
30,64,50,TCP,10,50
30,64,75,TCP,10,50
30,64,100,TCP,10,50
30,64,150,TCP,10,50
30,64,200,TCP,10,50
10,1,25,TCP,100,50
10,1,50,TCP,100,50
10,1,75,TCP,100,50
10,1,100,TCP,100,50
10,1,150,TCP,100,50
10,1,200,TCP,100,50
10,2,25,TCP,100,50
10,2,50,TCP,100,50
10,2,75,TCP,100,50
10,2,100,TCP,100,50
10,2,150,TCP,100,50
10,2,200,TCP,100,50
10,4,25,TCP,100,50
10,4,50,TCP,100,50
10,4,75,TCP,100,50
10,4,100,TCP,100,50
10,4,150,TCP,100,50
10,4,200,TCP,100,50
10,8,25,TCP,100,50
10,8,50,TCP,100,50
10,8,75,TCP,100,50
10,8,100,TCP,100,50
10,8,150,TCP,100,50
10,8,200,TCP,100,50
10,16,25,TCP,100,50
10,16,50,TCP,100,50
10,16,75,TCP,100,50
10,16,100,TCP,100,50
10,16,150,TCP,100,50
10,16,200,TCP,100,50
10,32,25,TCP,100,50
10,32,50,TCP,100,50
10,32,75,TCP,100,50
10,32,100,TCP,100,50
10,32,150,TCP,100,50
10,32,200,TCP,100,50
10,64,25,TCP,100,50
10,64,50,TCP,100,50
10,64,75,TCP,100,50
10,64,100,TCP,100,50
10,64,150,TCP,100,50
10,64,200,TCP,100,50
20,1,25,TCP,100,50
20,1,50,TCP,100,50
20,1,75,TCP,100,50
20,1,100,TCP,100,50
20,1,150,TCP,100,50
20,1,200,TCP,100,50
20,2,25,TCP,100,50
20,2,50,TCP,100,50
20,2,75,TCP,100,50
20,2,100,TCP,100,50
20,2,150,TCP,100,50
20,2,200,TCP,100,50
20,4,25,TCP,100,50
20,4,50,TCP,100,50
20,4,75,TCP,100,50
20,4,100,TCP,100,50
20,4,150,TCP,100,50
20,4,200,TCP,100,50
20,8,25,TCP,100,50
20,8,50,TCP,100,50
20,8,75,TCP,100,50
20,8,100,TCP,100,50
20,8,150,TCP,100,50
20,8,200,TCP,100,50
20,16,25,TCP,100,50
20,16,50,TCP,100,50
20,16,75,TCP,100,50
20,16,100,TCP,100,50
20,16,150,TCP,100,50
20,16,200,TCP,100,50
20,32,25,TCP,100,50
20,32,50,TCP,100,50
20,32,75,TCP,100,50
20,32,100,TCP,100,50
20,32,150,TCP,100,50
20,32,200,TCP,100,50
20,64,25,TCP,100,50
20,64,50,TCP,100,50
20,64,75,TCP,100,50
20,64,100,TCP,100,50
20,64,150,TCP,100,50
20,64,200,TCP,100,50
30,1,25,TCP,100,50
30,1,50,TCP,100,50
30,1,75,TCP,100,50
30,1,100,TCP,100,50
30,1,150,TCP,100,50
30,1,200,TCP,100,50
30,2,25,TCP,100,50
30,2,50,TCP,100,50
